酒店名称,当前链接,上级链接,下载时间
"
                        Casa Tunas
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1663225.html,http://hotels.ctrip.com/international/tilcara36527/p2,2016-01-12 13:35:35
"
                        Aguacanto Cabañas
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/301845.html,http://hotels.ctrip.com/international/tilcara36527/p2,2016-01-12 13:35:36
"
                        Posada las Piedras
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2112282.html,http://hotels.ctrip.com/international/tilcara36527/p2,2016-01-12 13:35:36
"
                        Los Arcabuceros(阿卡布瑟罗斯酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/568041.html,http://hotels.ctrip.com/international/tilcara36527/p2,2016-01-12 13:35:36
"
                        Hotel Norte Rupestre
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/301835.html,http://hotels.ctrip.com/international/tilcara36527/p2,2016-01-12 13:35:37
"
                        Hosteria La Estacion
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/676512.html,http://hotels.ctrip.com/international/tilcara36527/p2,2016-01-12 13:35:37
"
                        La Calabaza Cabaña
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1132448.html,http://hotels.ctrip.com/international/tilcara36527/p2,2016-01-12 13:35:37
"
                        Hosteria La Morada(拉莫拉达宾馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/558403.html,http://hotels.ctrip.com/international/tilcara36527/p2,2016-01-12 13:35:37
"
                        La Casa de Fede Hostal
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2272653.html,http://hotels.ctrip.com/international/tilcara36527/p2,2016-01-12 13:35:37
"
                        Tilcara Hostel
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2062826.html,http://hotels.ctrip.com/international/tilcara36527/p2,2016-01-12 13:35:37
"
                        Tierra Andina Hostel
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2861697.html,http://hotels.ctrip.com/international/tilcara36527/p2,2016-01-12 13:35:38
"
                        Kalenshen(卡兰森酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/304411.html,http://hotels.ctrip.com/international/elchalten36528/p2,2016-01-12 13:35:39
"
                        Pudu Lodge(普渡旅馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/304394.html,http://hotels.ctrip.com/international/elchalten36528/p2,2016-01-12 13:35:39
"
                        Hotel La Aldea(拉阿尔迪酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3671035.html,http://hotels.ctrip.com/international/elchalten36528/p2,2016-01-12 13:35:39
"
                        Chalten Suites Hotel(查尔坦套房酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3697931.html,http://hotels.ctrip.com/international/elchalten36528/p2,2016-01-12 13:35:40
"
                        Aguas Arriba Lodge
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/487960.html,http://hotels.ctrip.com/international/elchalten36528/p2,2016-01-12 13:35:40
"
                        Hosteria El Paraiso
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3066179.html,http://hotels.ctrip.com/international/elchalten36528/p2,2016-01-12 13:35:41
"
                        Hem Herhu(亨姆赫尔胡旅馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/566322.html,http://hotels.ctrip.com/international/elchalten36528/p2,2016-01-12 13:35:41
"
                        Confin Patagonico(科菲帕塔格尼柯酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/304417.html,http://hotels.ctrip.com/international/elchalten36528/p2,2016-01-12 13:35:41
"
                        Spa y Cabaña Yaten
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2573149.html,http://hotels.ctrip.com/international/elchalten36528/p2,2016-01-12 13:35:41
"
                        Complejo Como Vaca
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1240655.html,http://hotels.ctrip.com/international/elchalten36528/p2,2016-01-12 13:35:41
"
                        Inlandsis(樱兰塞斯酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/304408.html,http://hotels.ctrip.com/international/elchalten36528/p2,2016-01-12 13:35:43
"
                        Cabañas Aires Del Fitz(卡瓦尼亚斯布宜诺斯艾利斯德尔菲茨山林小屋)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/304395.html,http://hotels.ctrip.com/international/elchalten36528/p2,2016-01-12 13:35:43
"
                        Aguila Mora Aparts
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2093327.html,http://hotels.ctrip.com/international/elchalten36528/p2,2016-01-12 13:35:43
"
                        Buenavista Chalten, Casa de Montaña
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/719180.html,http://hotels.ctrip.com/international/elchalten36528/p2,2016-01-12 13:35:44
"
                        Anita´s House(安妮塔之家山林小屋)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/563781.html,http://hotels.ctrip.com/international/elchalten36528/p2,2016-01-12 13:35:44
"
                        Latitud 49 Apart
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/589991.html,http://hotels.ctrip.com/international/elchalten36528/p2,2016-01-12 13:35:44
"
                        Hospedaje La Cima Bed & Breakfast
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/572326.html,http://hotels.ctrip.com/international/elchalten36528/p2,2016-01-12 13:35:45
"
                        Hotel Lago del Desierto
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1240205.html,http://hotels.ctrip.com/international/elchalten36528/p2,2016-01-12 13:35:45
"
                        Hosteria El Puma
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/385729.html,http://hotels.ctrip.com/international/elchalten36528/p2,2016-01-12 13:35:45
"
                        Casa Huemules
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/849727.html,http://hotels.ctrip.com/international/elchalten36528/p2,2016-01-12 13:35:45
"
                        Pa-kuas del Uritorco
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/959178.html,http://hotels.ctrip.com/international/capilla36530/p2,2016-01-12 13:35:46
"
                        Hosteria El Zapato(鞋子旅馆)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2112570.html,http://hotels.ctrip.com/international/capilla36530/p2,2016-01-12 13:35:46
"
                        Cabañas Morada del Cerro
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1291965.html,http://hotels.ctrip.com/international/capilla36530/p2,2016-01-12 13:35:47
"
                        Estilo de Vida
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2112568.html,http://hotels.ctrip.com/international/capilla36530/p2,2016-01-12 13:35:47
"
                        El Gusto Es Nuestro(埃比尼泽霍斯特里酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/594543.html,http://hotels.ctrip.com/international/capilla36530/p2,2016-01-12 13:35:48
"
                        La Morada
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1967105.html,http://hotels.ctrip.com/international/lacumbre36531/p2,2016-01-12 13:35:48
"
                        Country House Trabun Curev
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1540281.html,http://hotels.ctrip.com/international/capilla36530/p2,2016-01-12 13:35:48
"
                        Don Pueyrredon
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1681818.html,http://hotels.ctrip.com/international/capilla36530/p2,2016-01-12 13:35:48
"
                        Llao Llao Hotel & Resort, Golf-Spa(落落酒店&度假村&高尔夫度-Spa)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/755407.html,http://hotels.ctrip.com/international/llaollao36533/p2,2016-01-12 13:35:50
"
                        Hotel Amancay(阿曼凯酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/495784.html,http://hotels.ctrip.com/international/llaollao36533/p2,2016-01-12 13:35:50
"
                        La Casa de Reyes Posada
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2241891.html,http://hotels.ctrip.com/international/sansalvador36543/p2,2016-01-12 13:35:50
"
                        Alto Los Perales
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/2052289.html,http://hotels.ctrip.com/international/sansalvador36543/p2,2016-01-12 13:35:51
"
                        Hostel Casa de Barro
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1424818.html,http://hotels.ctrip.com/international/sansalvador36543/p2,2016-01-12 13:35:51
"
                        Cabañas Los Alisos
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/951989.html,http://hotels.ctrip.com/international/sansalvador36543/p2,2016-01-12 13:35:52
"
                        Estancia Maria Marcela(埃斯坦西亚玛丽亚马塞拉酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/783751.html,http://hotels.ctrip.com/international/sansalvador36543/p2,2016-01-12 13:35:52
"
                        Alejandro 1º Hotel(亚历桑德一世酒店)
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/3044475.html,http://hotels.ctrip.com/international/sanlorenzo36541/p2,2016-01-12 13:35:53
"
                        Apartamento Clelia
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1135618.html,http://hotels.ctrip.com/international/sanlorenzo36541/p2,2016-01-12 13:35:53
"
                        Toba Alquileres
                        
                        
                            
                            
                        
                    ",http://hotels.ctrip.com/international/1021910.html,http://hotels.ctrip.com/international/sansalvador36543/p2,2016-01-12 13:35:53
